bus real approx linear dc
 3.90000000e+01 -1.15391876e+00 -1.17504087e+00 -1.14082269e+00 -1.58408916e+00
 4.00000000e+01 -1.15494646e+00 -1.17595720e+00 -1.14178946e+00 -1.58342779e+00
 4.10000000e+01 -1.15790534e+00 -1.17899605e+00 -1.14457284e+00 -1.58891997e+00
 4.20000000e+01 -1.17639193e+00 -1.19787876e+00 -1.16236179e+00 -1.61369243e+00
 4.30000000e+01 -1.18495243e+00 -1.20724745e+00 -1.17092604e+00 -1.63059142e+00
 4.40000000e+01 -1.19029603e+00 -1.21203832e+00 -1.17561794e+00 -1.63356771e+00
 4.50000000e+01 -1.19394548e+00 -1.21578887e+00 -1.17904363e+00 -1.64032731e+00
 4.60000000e+01 -1.19668347e+00 -1.21860266e+00 -1.18161291e+00 -1.64539701e+00
 4.70000000e+01 -1.20484792e+00 -1.22692109e+00 -1.18952002e+00 -1.65479813e+00
 4.80000000e+01 -1.20722371e+00 -1.22947496e+00 -1.19189601e+00 -1.65859251e+00
 4.90000000e+01 -1.21333841e+00 -1.23542842e+00 -1.19748214e+00 -1.66654262e+00
 5.00000000e+01 -1.21760764e+00 -1.23967990e+00 -1.20148429e+00 -1.67196315e+00
 5.10000000e+01 -1.21903091e+00 -1.24109725e+00 -1.20281834e+00 -1.67377000e+00
 5.20000000e+01 -1.09358038e+00 -1.11288059e+00 -1.08260026e+00 -1.49317593e+00
 5.30000000e+01 -1.18793512e+00 -1.20884540e+00 -1.17323122e+00 -1.61784817e+00
 5.40000000e+01 -1.24571612e+00 -1.26763041e+00 -1.22854152e+00 -1.69396147e+00
 5.50000000e+01 -1.24874986e+00 -1.27075078e+00 -1.23147642e+00 -1.69793652e+00
 5.60000000e+01 -1.25031643e+00 -1.27231113e+00 -1.23294388e+00 -1.69992405e+00
 5.70000000e+01 -1.40452725e+00 -1.42911222e+00 -1.37967503e+00 -1.90201957e+00
 5.80000000e+01 -1.40913618e+00 -1.43387144e+00 -1.38395715e+00 -1.91046906e+00
 5.90000000e+01 -1.41144147e+00 -1.43625185e+00 -1.38609821e+00 -1.91469381e+00
 6.00000000e+01 -1.74046683e+00 -1.77066650e+00 -1.69552826e+00 -2.33701727e+00
 6.10000000e+01 -1.74046683e+00 -1.77066650e+00 -1.69552826e+00 -2.33701727e+00
 6.20000000e+01 -1.73769551e+00 -1.76965693e+00 -1.69273851e+00 -2.35933711e+00
 6.30000000e+01 -1.73586614e+00 -1.76889250e+00 -1.69089959e+00 -2.37287781e+00
 6.40000000e+01 -1.73245133e+00 -1.76724797e+00 -1.68744957e+00 -2.39579285e+00
 6.50000000e+01 -1.72813289e+00 -1.76430183e+00 -1.68311194e+00 -2.41413232e+00
 6.60000000e+01 -1.72825802e+00 -1.76502385e+00 -1.68322535e+00 -2.42138626e+00
 6.70000000e+01 -1.86783831e+00 -1.89987143e+00 -1.81370566e+00 -2.49954290e+00
 6.80000000e+01 -1.87916654e+00 -1.91168192e+00 -1.82398275e+00 -2.51982169e+00
 6.90000000e+01 -1.89216299e+00 -1.92523060e+00 -1.83575859e+00 -2.54305781e+00
 7.00000000e+01 -1.90138915e+00 -1.93484810e+00 -1.84410873e+00 -2.55953432e+00
 7.10000000e+01 -1.90659750e+00 -1.94027712e+00 -1.84881907e+00 -2.56882877e+00
 7.20000000e+01 -1.92365777e+00 -1.95678852e+00 -1.86547064e+00 -2.57159081e+00
 7.30000000e+01 -1.93877452e+00 -1.97309617e+00 -1.87960164e+00 -2.59947415e+00
 7.40000000e+01 -1.95140350e+00 -1.98695215e+00 -1.89159159e+00 -2.62313274e+00
 7.50000000e+01 -1.95899752e+00 -1.99487778e+00 -1.89844299e+00 -2.63665193e+00
 7.60000000e+01 -1.95749234e+00 -1.99123863e+00 -1.89671446e+00 -2.61531643e+00
 7.70000000e+01 -1.98540114e+00 -2.01941980e+00 -1.92232819e+00 -2.65000784e+00
 7.80000000e+01 -1.99120109e+00 -2.02529538e+00 -1.92766439e+00 -2.65723522e+00
 7.90000000e+01 -1.99360224e+00 -2.02793989e+00 -1.93006567e+00 -2.66048753e+00
 8.00000000e+01 -2.01369822e+00 -2.04763672e+00 -1.94794192e+00 -2.68469925e+00
 8.10000000e+01 -2.03058861e+00 -2.06440746e+00 -1.96315007e+00 -2.70529727e+00
 8.20000000e+01 -2.03503423e+00 -2.06882291e+00 -1.96715222e+00 -2.71071780e+00
 8.30000000e+01 -2.03651631e+00 -2.07029492e+00 -1.96848627e+00 -2.71252464e+00
 8.40000000e+01 -2.04986988e+00 -2.08457380e+00 -1.98049267e+00 -2.73951773e+00
 8.50000000e+01 -2.05892855e+00 -2.09404738e+00 -1.98862871e+00 -2.75557177e+00
 8.60000000e+01 -2.01131057e+00 -2.04469579e+00 -1.94527383e+00 -2.68108556e+00
 8.70000000e+01 -2.04331339e+00 -2.07647843e+00 -1.97408927e+00 -2.72011339e+00
 8.80000000e+01 -2.04664530e+00 -2.07996418e+00 -1.97708676e+00 -2.72602804e+00
 8.90000000e+01 -2.05636609e+00 -2.08943991e+00 -1.98582890e+00 -2.73601362e+00
 9.00000000e+01 -2.06065289e+00 -2.09392576e+00 -1.98968281e+00 -2.74361816e+00
 9.10000000e+01 -2.06437977e+00 -2.09739728e+00 -1.99303276e+00 -2.74577057e+00
 9.20000000e+01 -2.07009813e+00 -2.10338206e+00 -1.99817131e+00 -2.75590997e+00
 9.30000000e+01 -2.06972383e+00 -2.10270378e+00 -1.99783534e+00 -2.75227521e+00
 9.40000000e+01 -2.07496689e+00 -2.10819167e+00 -2.00254567e+00 -2.76156966e+00
 9.50000000e+01 -2.07328709e+00 -2.10624214e+00 -2.00103705e+00 -2.75661164e+00
 9.60000000e+01 -2.07519366e+00 -2.10823790e+00 -2.00274990e+00 -2.75999144e+00
 9.70000000e+01 -1.89963793e+00 -1.93202803e+00 -1.84305473e+00 -2.53929347e+00
 9.80000000e+01 -1.90904783e+00 -1.94168411e+00 -1.85185945e+00 -2.55121864e+00
 9.90000000e+01 -1.92139627e+00 -1.95456542e+00 -1.86359907e+00 -2.56711887e+00
 1.00000000e+02 -1.92459774e+00 -1.95807981e+00 -1.86680079e+00 -2.57145529e+00
 1.01000000e+02 -1.92292271e+00 -1.95544397e+00 -1.86439950e+00 -2.56820297e+00
 1.02000000e+02 -1.93357097e+00 -1.96655822e+00 -1.87403428e+00 -2.58721434e+00
 1.03000000e+02 -1.94589011e+00 -1.97941552e+00 -1.88516780e+00 -2.60918303e+00
 1.04000000e+02 -1.95917428e+00 -1.99327884e+00 -1.89715775e+00 -2.63284162e+00
 1.05000000e+02 -1.94044757e+00 -1.97316869e+00 -1.88054149e+00 -2.59006579e+00
 1.06000000e+02 -1.94897249e+00 -1.98206999e+00 -1.88824931e+00 -2.60527488e+00
 1.07000000e+02 -1.95987628e+00 -1.99345447e+00 -1.89809819e+00 -2.62470872e+00
 1.08000000e+02 -1.95349972e+00 -1.98650819e+00 -1.89268133e+00 -2.60650807e+00
 1.09000000e+02 -1.98251895e+00 -2.01772310e+00 -1.91965871e+00 -2.65973990e+00
 1.10000000e+02 -1.99620218e+00 -2.03261881e+00 -1.93250508e+00 -2.68508838e+00
 1.11000000e+02 -2.00167516e+00 -2.03833422e+00 -1.93742952e+00 -2.69480531e+00
 1.12000000e+02 -2.00071912e+00 -2.03758856e+00 -1.93678720e+00 -2.69353788e+00
 1.13000000e+02 -2.01470671e+00 -2.05325810e+00 -1.95027589e+00 -2.72015379e+00
 1.14000000e+02 -2.01780563e+00 -2.05649429e+00 -1.95305927e+00 -2.72564597e+00
